Date,Open,High,Low,Close,Adj Close,Volume
2018-12-18,21.948099,22.731899,21.737000,22.490700,22.490700,26496426
2018-12-19,22.611300,22.973101,22.490700,22.762100,22.762100,25778285
2018-12-20,22.520901,23.184200,22.460600,23.033400,23.033400,22538377
2018-12-21,23.214300,23.425400,22.611300,23.093700,23.093700,59019322
2018-12-24,23.063601,23.093700,22.400299,22.520901,22.520901,27864216
2018-12-26,22.370100,22.611300,21.917900,22.460600,22.460600,28065122
2018-12-27,22.731899,22.912800,22.279699,22.400299,22.400299,24583190
2018-12-28,22.460600,22.973101,22.460600,22.611300,22.611300,19545691
2018-12-31,22.731899,22.973101,22.671600,22.762100,22.762100,12132313
2019-01-01,22.912800,22.973101,22.370100,22.762100,22.762100,14601475
2019-01-02,22.882700,22.882700,22.008400,22.159100,22.159100,17611505
2019-01-03,21.556101,21.887800,21.013500,21.767200,21.767200,39317592
2019-01-04,21.767200,22.038500,21.465700,21.827499,21.827499,21164742
2019-01-07,22.068701,22.279699,21.948099,22.098801,22.098801,13701910
2019-01-08,22.008400,22.490700,21.857599,22.279699,22.279699,16086092
2019-01-09,22.309900,22.551001,21.948099,22.279699,22.279699,18790130
2019-01-10,22.309900,22.671600,22.189301,22.370100,22.370100,16847368
2019-01-11,22.340000,22.490700,22.038500,22.249599,22.249599,13759947
2019-01-14,22.309900,22.309900,21.465700,21.676701,21.676701,17509666
2019-01-15,21.676701,21.978201,21.495800,21.857599,21.857599,15977433
2019-01-16,21.917900,22.279699,21.767200,21.948099,21.948099,14704006
2019-01-17,21.948099,22.400299,21.706900,22.279699,22.279699,24736662
2019-01-18,22.309900,22.309900,20.712000,21.224501,21.224501,47866045
2019-01-21,21.224501,21.375200,19.536200,19.807501,19.807501,65723725
2019-01-22,19.747200,20.320101,19.656799,20.199499,20.199499,32159216
2019-01-23,20.320101,20.802401,20.078899,20.440701,20.440701,21144118
2019-01-24,20.772301,21.224501,20.048700,20.531099,20.531099,56361173
2019-01-25,20.380400,20.621500,19.445700,19.807501,19.807501,38758119
2019-01-28,19.777399,19.777399,17.154499,18.722200,18.722200,48905912
2019-01-29,18.722200,19.626600,18.119200,18.511200,18.511200,51126945
2019-01-30,18.631701,18.933201,18.209700,18.420700,18.420700,27358255
2019-01-31,18.541300,18.752300,17.847900,18.149401,18.149401,47673705
2019-02-01,18.270000,18.933201,18.179501,18.631701,18.631701,28114499
2019-02-04,18.661900,18.691999,17.727301,18.119200,18.119200,30177020
2019-02-05,18.058901,18.481001,17.636801,18.360399,18.360399,36435471
2019-02-06,18.330299,18.330299,17.365499,18.089100,18.089100,43637486
2019-02-07,17.787600,19.867800,17.667000,19.295000,19.295000,87846200
2019-02-08,19.295000,19.295000,17.908199,18.420700,18.420700,41510503
2019-02-11,18.511200,19.295000,17.847900,18.782499,18.782499,36408754
2019-02-12,18.661900,18.661900,17.787600,17.938299,17.938299,31303005
2019-02-14,18.360399,19.264900,17.968500,19.084000,19.084000,31976928
2019-02-15,18.903099,18.903099,17.938299,18.089100,18.089100,40783779
2019-02-18,18.330299,18.631701,17.968500,18.481001,18.481001,24595647
2019-02-19,18.360399,18.812599,17.998600,18.270000,18.270000,32926668
2019-02-20,18.270000,18.631701,18.058901,18.450800,18.450800,33316627
2019-02-21,18.420700,18.812599,18.239799,18.691999,18.691999,52091844
2019-02-22,18.812599,18.933201,18.179501,18.300100,18.300100,37953253
2019-02-25,18.270000,18.691999,18.209700,18.390600,18.390600,37080650
2019-02-26,18.209700,18.330299,17.606701,17.968500,17.968500,35665348
2019-02-27,18.089100,18.420700,17.727301,17.817699,17.817699,28710372
2019-02-28,17.847900,18.300100,17.817699,18.028799,18.028799,68245473
2019-03-01,18.330299,18.360399,17.847900,18.028799,18.028799,44775494
2019-03-05,18.028799,18.390600,17.847900,17.968500,17.968500,49061345
2019-03-06,18.089100,19.234699,18.028799,18.842800,18.842800,95280252
2019-03-07,19.053801,19.958300,18.872900,19.295000,19.295000,108759380
2019-03-08,19.295000,19.747200,19.114100,19.626600,19.626600,49120668
2019-03-11,19.747200,20.923000,19.656799,20.621500,20.621500,75926468
2019-03-12,20.802401,20.953199,20.289900,20.621500,20.621500,64190255
2019-03-13,20.772301,21.284800,20.169300,20.470800,20.470800,91776034
2019-03-14,20.500900,20.742100,20.199499,20.380400,20.380400,28746620
2019-03-15,20.470800,20.651699,20.289900,20.470800,20.470800,27056256
2019-03-18,20.470800,20.561199,19.295000,19.475901,19.475901,34225082
2019-03-19,19.506100,19.656799,18.812599,19.325199,19.325199,38790806
2019-03-20,19.295000,20.199499,17.847900,19.958300,19.958300,215376684
2019-03-22,19.958300,20.078899,19.234699,19.415600,19.415600,79960239
2019-03-25,19.355301,19.355301,18.119200,18.239799,18.239799,88595223
2019-03-26,18.239799,18.360399,17.697100,17.847900,17.847900,66811829
